away_team_id,away_team_name,away_team_score,home_team_id,home_team_name,home_team_score,match_id,match_period,match_competition,match_round,match_season,match_seasonId,match_skyId,match_status,match_type,match_venue_id,match_venue_location,match_venue_name,_c18,team_name,total_match_score
t38,HuddersfieldTown,1,t19,SheffieldWednesday,1,4ba7ea5f-106e-3d56-a229-e85e29a71f85,FullTime,SkyBetChampionship,37,Season2020/2021,2020,430147,result,Regular,41,Sheffield,Hillsborough,"",HuddersfieldTown,2
t108,Reading,1,t41,BirminghamCity,2,bc3708be-c6d7-3906-b8ca-fe3955950fa2,FullTime,SkyBetChampionship,37,Season2020/2021,2020,430143,result,Regular,57,Birmingham,St.Andrew'sTrillionTrophyStadium,"",Reading,3
t17,NottinghamForest,1,t94,Brentford,1,1d2d3417-e9d4-3991-9b30-5f9f7ef04ed2,FullTime,SkyBetChampionship,38,Season2020/2021,2020,430150,result,Regular,14923,Brentford,BrentfordCommunityStadium,"",NottinghamForest,2
t72,RotherhamUnited,2,t113,BristolCity,0,de94dfcf-7822-349a-b919-5567a6fe24c5,FullTime,SkyBetChampionship,38,Season2020/2021,2020,430151,result,Regular,4,Bristol,AshtonGate,"",RotherhamUnited,2
t52,QueensParkRangers,1,t108,Reading,1,92dd007d-4a30-3def-b4c3-3c48269bf800,FullTime,SkyBetChampionship,38,Season2020/2021,2020,430157,result,Regular,106,Reading,SelectCarLeasingStadium,"",QueensParkRangers,2
t112,WycombeWanderers,0,t9,CoventryCity,0,a7cbe992-83fb-3c20-be70-5f8dab4ae91d,FullTime,SkyBetChampionship,38,Season2020/2021,2020,430152,result,Regular,57,Birmingham,St.Andrew'sTrillionTrophyStadium,"",WycombeWanderers,0
t25,Middlesbrough,0,t103,Millwall,1,6e4a775c-0a7b-3f48-8188-6df70a74d347,FullTime,SkyBetChampionship,38,Season2020/2021,2020,430154,result,Regular,101,London,TheDen,"",Middlesbrough,1
t5,BlackburnRovers,1,t45,NorwichCity,1,6edb6779-7e8f-3041-949a-27648a0c0784,FullTime,SkyBetChampionship,38,Season2020/2021,2020,430155,result,Regular,61,Norwich,CarrowRoad,"",BlackburnRovers,2
t41,BirminghamCity,0,t57,Watford,3,0132e8bc-c8bf-3426-9bc1-58c27bf0724d,FullTime,SkyBetChampionship,38,Season2020/2021,2020,430160,result,Regular,73,Watford,VicarageRoad,"",BirminghamCity,3
t102,LutonTown,1,t107,PrestonNorthEnd,0,d3e1e1f9-e9c0-3f55-9889-ddf7a1fb0df8,FullTime,SkyBetChampionship,38,Season2020/2021,2020,430156,result,Regular,105,Preston,Deepdale,"",LutonTown,1
t24,DerbyCounty,0,t110,StokeCity,1,f7872302-f160-30e5-bd62-968d9bc8b8f4,FullTime,SkyBetChampionship,38,Season2020/2021,2020,430158,result,Regular,1,Stoke,bet365Stadium,"",DerbyCounty,1
t19,SheffieldWednesday,2,t37,Barnsley,1,6b7a9e77-0ba5-3079-ab8c-f29624c4143e,FullTime,SkyBetChampionship,38,Season2020/2021,2020,430149,result,Regular,53,Barnsley,Oakwell,"",SheffieldWednesday,3
t97,CardiffCity,1,t80,SwanseaCity,0,07a02a71-b18d-32c6-808e-6378bb90bf0d,FullTime,SkyBetChampionship,38,Season2020/2021,2020,430159,result,Regular,2867,Swansea,LibertyStadium,"",CardiffCity,1
t25,Middlesbrough,1,t91,Bournemouth,3,9b411bff-910c-3e21-9519-d71ae8606474,FullTime,SkyBetChampionship,39,Season2020/2021,2020,430163,result,Regular,2734,Bournemouth,VitalityStadium,"",Middlesbrough,4
